D_lower,D_upper,B,C,C0,Pu,reference_speed,limiting_speed ,mass, designation,D_lower_1,D_upper_1,D_upper_2,r1_2_min,D_lower_a_min,D_upper_a_max,ra_max,kr,f0
35,72,17,27,15.3,0.655,20000,13000,0.29,*6207,46.9,60,62.7,1.1,42,65,1,0.025,14
35,72,17,31.2,17.6,0.75,20000,13000,0.26,6207 ETN9,46.1,61.7,–,1.1,42,65,1,0.025,13
35,80,21,35.1,19,0.815,19000,12000,0.46,*6307,49.5,65.4,69.2,1.5,44,71,1.5,0.03,13
35,100,25,55.3,31,1.29,16000,10000,0.97,6407,57.4,79.6,–,1.5,46,89,1.5,0.035,12
40,52,7,4.49,3.75,0.16,26000,16000,0.032,61808,43.2,48.1,–,0.3,42,50,0.3,0.015,15
40,62,12,13.8,10,0.425,24000,14000,0.12,61908,46.9,55.1,–,0.6,43.2,58.8,0.6,0.02,16
40,68,9,13.8,10.2,0.44,22000,14000,0.13,*16008,49.4,58.6,–,0.3,42,66,0.3,0.02,16
40,68,15,17.8,11,0.49,22000,14000,0.19,*6008,49.2,58.8,61.1,1,44.6,63.4,1,0.025,15
40,80,18,32.5,19,0.8,18000,11000,0.37,*6208,52.6,67.4,69.8,1.1,47,73,1,0.025,14
40,80,18,35.8,20.8,0.88,18000,11000,0.34,6208 ETN9,52,68.8,–,1.1,47,73,1,0.025,13
40,90,23,42.3,24,1.02,17000,11000,0.63,*6308,56.1,73.8,77.7,1.5,49,81,1.5,0.03,13
40,110,27,63.7,36.5,1.53,14000,9000,1.25,6408,62.8,87,–,2,53,97,2,0.035,12
45,58,7,6.63,6.1,0.26,22000,14000,0.04,61809,49.1,53.9,–,0.3,47,56,0.3,0.015,17
45,68,12,14,10.8,0.465,20000,13000,0.14,61909,52.4,60.6,–,0.6,48.2,64.8,0.6,0.02,16
45,75,10,16.5,10.8,0.52,20000,12000,0.17,*16009,55,65,–,0.6,48.2,71.8,0.6,0.02,14
45,75,16,22.1,14.6,0.64,20000,12000,0.24,*6009,54.7,65.3,67.8,1,50.8,69.2,1,0.025,15
45,85,19,35.1,21.6,0.915,17000,11000,0.42,*6209,57.6,72.4,75.2,1.1,52,78,1,0.025,14
45,100,25,55.3,31.5,1.34,15000,9500,0.84,*6309,62.1,82.7,86.7,1.5,54,91,1.5,0.03,13
45,120,29,76.1,45,1.9,13000,8500,1.55,6409,68.9,95.9,–,2,58,107,2,0.035,12
50,65,7,6.76,6.8,0.285,20000,13000,0.052,61810,55.1,59.9,–,0.3,52,63,0.3,0.015,17
50,72,12,14.6,11.8,0.5,19000,12000,0.14,61910,56.9,65.1,–,0.6,53.2,68.8,0.6,0.02,16
50,80,10,16.8,11.4,0.56,18000,11000,0.18,*16010,60,70,–,0.6,53.2,76.8,0.6,0.02,14
50,80,16,22.9,16,0.71,18000,11000,0.26,*6010,59.7,70.3,72.8,1,54.6,75.4,1,0.025,15
50,90,20,37.1,23.2,0.98,15000,10000,0.45,*6210,62.5,77.4,81.7,1.1,57,83,1,0.025,14
50,110,27,65,38,1.6,13000,8500,1.1,*6310,68.7,91.1,95.2,2,61,99,2,0.03,13
50,130,31,87.1,52,2.2,12000,7500,1.95,6410,75.4,105,–,2.1,64,116,2,0.035,12
55,72,9,9.04,8.8,0.375,19000,12000,0.083,61811,60.6,66.4,–,0.3,57,70,0.3,0.015,17
55,80,13,16.5,14,0.6,17000,11000,0.19,61911,63.2,71.8,–,1,59.6,75.4,1,0.02,16
55,90,11,20.3,14,0.695,16000,10000,0.27,*16011,67,78.1,–,0.6,58.2,86.8,0.6,0.02,14
55,90,18,29.6,21.2,0.9,16000,10000,0.39,*6011,66.3,78.7,81.5,1.1,61,84,1,0.025,15
55,100,21,46.2,29,1.25,14000,9000,0.61,*6211,69,85.8,89.4,1.5,64,91,1.5,0.025,14
55,120,29,74.1,45,1.9,12000,8000,1.35,*6311,75.3,99.5,104,2,66,109,2,0.03,13
55,140,33,99.5,62,2.6,11000,7000,2.35,6411,81.5,114,–,2.1,69,126,2,0.035,12
60,78,10,11.9,11.4,0.49,17000,11000,0.11,61812,65.6,72.4,–,0.3,62,76,0.3,0.015,17
60,85,13,16.5,14.3,0.6,16000,10000,0.2,61912,68.2,76.8,–,1,64.6,80.4,1,0.02,16
60,95,11,20.8,15,0.735,15000,9500,0.29,*16012,72,83,–,0.6,63.2,91.8,0.6,0.02,14
60,95,18,30.7,23.2,0.98,15000,9500,0.41,*6012,71.3,83.7,86.5,1.1,66,89,1,0.025,16
60,110,22,55.3,36,1.53,13000,8000,0.78,*6212,75.5,94.6,98,1.5,69,101,1.5,0.025,14
60,130,31,85.2,52,2.2,11000,7000,1.7,*6312,81.8,108,113,2.1,72,118,2,0.03,13
60,150,35,108,69.5,2.9,10000,6300,2.85,6412,88.1,122,–,2.1,74,136,2,0.035,12
65,85,10,12.4,12.7,0.54,16000,10000,0.13,61813,71.6,78.4,–,0.6,68.2,81.8,0.6,0.015,17
65,90,13,17.4,16,0.68,15000,9500,0.22,61913,73.2,81.8,–,1,69.6,85.4,1,0.02,17
65,100,11,22.5,19.6,0.83,14000,9000,0.3,*16013,76.5,88.4,–,0.6,68.2,96.8,0.6,0.02,16
65,100,18,31.9,25,1.06,14000,9000,0.44,*6013,76.3,88.7,91.5,1.1,71,94,1,0.025,16
